,location,name,span,verb
22488,84544,Ron,"Ron, sounding surprised, “Why us",sounding
22489,84548,Weasley,"Yes, of course,” said Mr. Weasley, who looked nervous.",said
22490,84551,Scrimgeour,"‘You can lead the way,” Scrimgeour said to Ron.",said
22491,84554,Harry,"Harry saw Mr. Weasley exchange a worried look with Mrs. Weasley as he,",saw
22492,84555,Ron,"Ron, and Hermione stood up.",stood
22493,84557,Harry,Harry knew that the other two were thinking the same as he was:,knew
22494,84564,Harry,Harry flicked his wand at,flicked
22495,84572,two“—he,If you two“—he pointed at Harry and Hermione—”,pointed
22496,84574,Hermione,while Hermione nodded vigorously,nodded
22497,84576,Scrimgeour,"Scrimgeour gave Harry a cold, appraising look.",gave
22498,84577,Harry,Harry had the impression,had
22499,84587,Dumbledore,that Dumbledore had left,left
22500,84589,Ron,” said Ron.,said
22501,84592,Harry,But Harry interrupted.,interrupted
22502,84593,Dumbledore,“Dumbledore died over a month ago.,died
22503,84601,Scrimgeour,"“I had every right,” said Scrimgeour dismissively.",said
22504,84609,Dumbledore,Dumbledore was trying to pass us something cursed?”,trying
22505,84612,Hermione,"No, I’m not,” retorted Hermione.",retorted
22506,84614,Ron,"Ron laughed, Scrimgeour’s eyes flickered toward him and away again as",laughed
22507,84615,Harry,Harry spoke.,spoke
22508,84619,Hermione,"No, it’ll be because the thirty-one days are up,” said Hermione at once.",said
22509,84628,Ron,Ron looked startled.,looked
22510,84634,Scrimgeour,Scrimgeour looked,looked
22511,84646,Ron,"I ... dunno,” said Ron, “",said
22512,84649,Hermione,"You’re being modest, Ron,” said Hermione.",said
22513,84650,Dumbledore,Dumbledore was very fond of,was
22514,84652,Harry,as Harry knew,knew
22515,84653,Dumbledore,"and Dumbledore had never been alone together, and direct contact between",been
22516,84657,Hagrid,than the one Hagrid had given Harry.,given
22517,84664,Harry,that Harry had seen,seen
22518,84671,Scrimgeour,"That is a valuable object,” said Scrimgeour, watching Ron.",said
22519,84677,Ron,"Ron shook his head, looking bewildered.",shook
22520,84678,Dumbledore,"“Dumbledore must have taught thousands of students,” Scrimgeour perse¬",taught
22521,84685,Scrimgeour,Evidently Scrimgeour had no suggestions.,had
22522,84694,Hermione,Hermione took it from Scrimgeour without a word.,took
22523,84697,Harry,Harry saw that the title was in runes;,saw
22524,84701,Dumbledore,"Dumbledore left you that book, Miss Granger",left
22525,84703,Hermione,"... he knew I liked books,” said Hermione in a thick voice, mopping her",said
22526,84710,Hermione,"No, I didn’t,” said Hermione, still wiping her eyes on her sleeve.",said
22527,84715,Ron,that Ron had,had
22528,84725,Scrimgeour,"As Scrimgeour pulled out the tiny, walnut-sized golden ball, its silver wings",pulled
22529,84726,Harry,Harry could not help feeling definite sense of anti¬,help
22530,84728,Dumbledore,Why did Dumbledore leave you this Snitch?,leave
22531,84729,Harry,"No idea,” said Harry.",said
22532,84733,Harry,"I suppose so,” said Harry.",said
22533,84735,Scrimgeour,"I’m asking the questions,” said Scrimgeour, shifting his chair a little closer",said
22534,84742,Hermione,Hermione laughed derisively.,laughed
22535,84743,Harry,that Harry’s a great Seeker,’s
22536,84751,Harry,Harry shrugged.,shrugged
22537,84752,Hermione,"Hermione, however, answered: Harry though that an¬",answered
22538,84758,Scrimgeour,"Correct,” said Scrimgeour.",said
22539,84765,Snitch”—he,This Snitch”—he held up the tiny golden ball—“will remem¬,held
22540,84771,Scrimgeour,that Scrimgeour was,was
22541,84777,Snitch,the Snitch contains?”,contains
22542,84778,Harry,"Harry, still wondering how he could appear to touch the Snitch",wondering
22543,84782,Scrimgeour,"Take it,” said Scrimgeour quietly.",said
22544,84783,Harry,Harry met the minister’s yellow eyes and knew he had no option but to,met
22545,84785,Scrimgeour,Scrimgeour leaned forward again and placed,leaned
22546,84794,Ron,Both Ron and Hermione laughed.,laughed
22547,84797,Scrimgeour,"Not quite,” said Scrimgeour, who looked bad tempered now, “Dumbledore",said
22548,84802,Hermione,Hermione and Ron both stiffened.,stiffened
22549,84803,Harry,Harry looked around for a sign of the,looked
22550,84804,Scrimgeour,Scrimgeour did not pull the sword from the leather,pull
22551,84809,Harry,Harry asked suspiciously.,asked
22552,84810,Scrimgeour,"Unfortunately,” said Scrimgeour, “that sword was not Dumbledore’s to give",said
22553,84814,Hermione,” said Hermione hotly.,said
22554,84818,Scrimgeour,"any worthy Gryffindor,” said Scrimgeour.",said
22555,84820,Dumbledore,whatever Dumbledore may have decided,decided
22556,84823,Harry,"Harry, struggling to",struggling
22557,84833,Harry,"“Interesting theory,” said Harry.",said
22558,84846,Harry,"” shouted Scrimgeour, standing up; Harry jumped to his feet",jumped
22559,84854,Scrimgeour,"” said Scrimgeour, breathing",said
22560,84861,Harry,” said Harry.,said
22561,84877,Harry,"“I don’t like your methods, Minister,” said Harry.",said
22562,84887,Weasley,"Mr. Weasley asked, looking around at Harry, Ron, and",asked
22563,84888,Weasley,as Mrs. Weasley came hurrying back to them,hurrying
22564,84895,Deluminator,the Deluminator and The Tales of Beedle the Bard and lamented the fact that,lamented
22565,84900,Dumbledore,why Dumbledore would have left Harry an old Snitch,left
22566,84902,Weasley,"Weasley examined the Deluminator for the third or fourth time, Mrs. Weasley",examined
22567,84910,Harry,"Meet us upstairs,” Harry whispered to Hermione, while they helped Mrs.",whispered
22568,84920,Hermione,"At last, Hermione tapped on the door and",tapped
22569,84923,Ron,” said Ron.,said
22570,84924,Hermione,"“Times change,” said Hermione.",said
22571,84926,Ron,Ron obliged at once.,obliged
22572,84934,Ron,"Still, it’s cool,” said Ron, a little defensively.",said
22573,84936,Dumbledore,Dumbledore invented it himself!”,invented
